Elapsed Time (ms),Throughput (req/sec)
1038,475.91522157996144
2040,708.8235294117646
3039,783.1523527476143
4042,824.3443839683325
5042,827.4494248314161
6041,857.4739281575897
7040,869.8863636363636
8039,875.4820251275034
9041,881.9820816281384
10042,889.2650866361283
11042,892.7730483608042
12040,898.5880398671097
13047,902.4296773204568
14043,905.1484725486008
15043,908.9277404772985
16041,910.5417367994514
17042,913.1557328952
18042,914.8098880390199
19043,917.5550070892192
20038,918.8541770635792
21038,920.4296986405552
22038,920.8185860785915
23041,919.7083459919274
24038,921.3328895914801
25040,923.8418530351438
26040,924.6543778801844
27040,925.0
28041,925.1096608537498
29038,927.0266547282871
30038,923.4636127571742
31041,925.2923552720595
32039,927.6818876993664
33043,927.8213237296856
34038,940.948351842059
35040,999.2294520547946
36042,1042.6169468952887
37040,1086.0421166306696
38043,1121.9935336329943
39039,1160.8391608391607
40041,1195.7993057116457
41040,1228.4844054580897
42043,1259.6151559118045
43043,1285.4354947378204
44043,1313.2847444542833
45043,1341.2738938347802
46043,1370.0671111786808
47039,1394.1835498203618
48043,1419.6240867556148
49042,1442.7021736470779
50039,1466.6560083135155
51040,1485.2664576802508
52041,1506.6197805576373
53039,1526.951865608326
54039,1545.5689409500546
55039,1565.0902087610602
56043,1586.1392145316988
57043,1603.2291429272655
58043,1618.472511758524
59043,1634.740782141829
60039,1649.3445926814236
61042,1661.5608925002457
62040,1674.6615087040618
63039,1690.1759228414155
64041,1702.3937789853376
65043,1714.17370047507
66041,1727.0786329704276
67039,1739.0175867778457
68043,1749.9522360860042
69040,1761.7033603707994
70043,1770.7551075767742
71043,1783.0750390608503
72040,1795.5302609661298
73041,1807.3547733464768
74043,1817.9301216860472
75043,1827.552203403382
76041,1837.2193948001736
77041,1847.5097675263821
78040,1856.611993849308
79041,1865.614048405258
80041,1873.0400669656801
81040,1881.6633761105625
82041,1890.4572104191807
83042,1898.1117988487754
84043,1906.0480944278522
85039,1912.2755441620902
86043,1918.8893925130456
87043,1926.8867111657455
88042,1935.3263215283614
89043,1942.522152218591
90042,1949.5568734590524
91038,1957.2046837584305
92040,1964.1134289439374
93039,1970.442502606434
94043,1976.840381527599
95039,1984.0381317143488
96059,1989.1733205634039
97043,1995.4040992137504
98042,1997.1746802390812
99040,2002.1809369951534
